SEQ,Shipping Location Code,Shipping Location Name,Delivery Due Date,Delivery Time (From),Delivery Time (To),Item Number,Item Name,Supplier Code,Supplier Name,User Code,User Name,P/F,P/F Name,Order No.,Order Quantity,Unit,Production Classification,Color,Item Class,Packing Name,Packing Capacity,Pickup,Delivery Slip No.,Delivery Slip & Receipt Card Print Date,Inspection Report Print Date,Item Card Print Date,Original Item Code,Supplier Information,Output date
17,0,<Default>,30-09-24,7:30,8:00,B65F3415000080,"COVER,BALL RACE 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,590B,Depo Global Body,P9BB,,3275,480,PCS,,,2,6011,40,,Y0B766710726564,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
18,0,<Default>,30-09-24,7:30,8:00,B65H5546000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,590B,Depo Global Body,P9BB,,5330,320,PCS,,,2,,40,,Y0B766710726974,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
19,0,<Default>,30-09-24,7:30,8:00,B6HF1621100080,FLAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,590B,Depo Global Body,P9BB,,2112,320,PCS,,,2,6011,80,,Y0B766710728323,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
20,0,<Default>,30-09-24,7:30,8:00,BLSF1521000080,FLAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,590B,Depo Global Body,P9BB,,193,160,PCS,,,2,6011,240,,Y0B766710728719,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
21,0,<Default>,30-09-24,7:30,8:00,BLSF1621000080,FLAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,590B,Depo Global Body,P9BB,,193,160,PCS,,,2,6011,120,,Y0B766710728683,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
22,0,<Default>,30-09-24,7:30,8:00,2PHF3415000080,"COVER,BALL RACE 1",7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,2824,50,PCS,,,2,6011,200,,Y0B766710726155,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
23,0,<Default>,30-09-24,7:30,8:00,2PHF71140000M0,STOPPER,7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,6405,40,PCS,,,2,6011,100,,Y0B766710726220,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
24,0,<Default>,30-09-24,7:30,8:00,B65H5546000080,BAND,7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,1092,300,PCS,,,2,6011,400,,Y0B766710727012,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
25,0,<Default>,30-09-24,7:30,8:00,BEJE5373000080,"PIPE,BREATHER",7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,1354,300,PCS,,,2,6011,400,,Y0B766710728198,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
26,0,<Default>,30-09-24,7:30,8:00,BJMF1621000080,FLAP,7667,PT. CATURINDO AGUNGJAYA RUBBER,6111,Body Assy #2,MA02,Body Assy Medium Parts,900,300,PCS,,,2,6033,50,,Y0B766710728471,04-09-24 10:29,-,04-09-24 10:29,,,19-09-24 7:29
